notebook_section,source_analysis_package,source_csv_or_markdown,source_figure,source_representative_runs_csv,source_diagnostic_csv,presentation_asset_path,scientific_compatibility_note,analysis_specification,validator_status
Baseline context,reports/experiment_registry,baseline_validation_audit.md; experiments/summary_features_500u_none_top500_matched_seed42/metrics.json,,,,,Qualified context; raw-column semantic provenance confirmation remains,,Qualified audit
Prediction compression — U500 Top100,reports/analysis/controlled_static_vs_evolvegcn_topn_halo_scaling_500u,plot_data/representative_true_vs_predicted.csv,figures/representative_true_vs_predicted.png,representative_runs.csv,prediction_diagnostics.csv,reports/meeting/assets/10_final_experiment_report/prediction_collapse/prediction_collapse_protocol_comparison.png,Controlled against U500 Top500 for Top-N only; median-MAE EvolveGCN-H representative,configs/analysis_reports/controlled_static_vs_evolvegcn_topn_halo_scaling_500u.json,PASS
Prediction compression — U500 Top500,reports/analysis/controlled_static_vs_evolvegcn_topn_halo_scaling_500u,plot_data/representative_true_vs_predicted.csv,figures/representative_true_vs_predicted.png,representative_runs.csv,prediction_diagnostics.csv,reports/meeting/assets/10_final_experiment_report/prediction_collapse/prediction_collapse_protocol_comparison.png,Controlled against U500 Top100 for Top-N only; median-MAE EvolveGCN-H representative,configs/analysis_reports/controlled_static_vs_evolvegcn_topn_halo_scaling_500u.json,PASS
Prediction compression — U750 Top1000,reports/analysis/controlled_evolvegcn_regression_head_ablation_750u_top1000,plot_data/representative_true_vs_predicted.csv,figures/representative_true_vs_predicted.png,representative_runs.csv,prediction_diagnostics.csv,reports/meeting/assets/10_final_experiment_report/prediction_collapse/prediction_collapse_protocol_comparison.png,Descriptive cross-protocol context; U count and normalization differ; median-MAE linear-head representative,configs/analysis_reports/controlled_evolvegcn_regression_head_ablation_750u_top1000.json,PASS
Prediction-compression protocol table,Top-N and regression-head packages,representative_runs.csv; prediction_diagnostics.csv,,representative_runs.csv,prediction_diagnostics.csv,,Protocols differ; table is descriptive and not a pure causal scaling ablation,Top-N and regression-head specifications,PASS
Prediction-compression composite,Top-N and regression-head packages,plot_data/representative_true_vs_predicted.csv,finalized representative true-versus-predicted figures,representative_runs.csv,prediction_diagnostics.csv,reports/meeting/assets/10_final_experiment_report/prediction_collapse/prediction_collapse_protocol_comparison.png; reports/meeting/assets/10_final_experiment_report/prediction_collapse/prediction_collapse_protocol_comparison.pdf,Presentation redraw from exact finalized representative plot data; no new experiment,Top-N and regression-head specifications,PASS
Universe-count scaling,reports/analysis/controlled_static_vs_evolvegcn_universe_scaling_top100,aggregated_results.csv,figures/test_mae_vs_universes.png,,,reports/meeting/assets/10_final_experiment_report/universe_scaling/test_mae_vs_universes.png,Controlled within model; Top100 minmax k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_universe_scaling_top100.json,PASS
Universe-count scaling,reports/analysis/controlled_static_vs_evolvegcn_universe_scaling_top100,aggregated_results.csv,figures/prediction_std_ratio_vs_universes.png,,,reports/meeting/assets/10_final_experiment_report/universe_scaling/prediction_std_ratio_vs_universes.png,Controlled within model; Top100 minmax k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_universe_scaling_top100.json,PASS
Top-N scaling,reports/analysis/controlled_static_vs_evolvegcn_topn_halo_scaling_500u,aggregated_results.csv,figures/test_mae_vs_topn.png,,,reports/meeting/assets/10_final_experiment_report/topn/test_mae_vs_topn.png,Controlled within model; U500 minmax k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_topn_halo_scaling_500u.json,PASS
Top-N scaling,reports/analysis/controlled_static_vs_evolvegcn_topn_halo_scaling_500u,aggregated_results.csv,figures/prediction_std_ratio_vs_topn.png,,,reports/meeting/assets/10_final_experiment_report/topn/prediction_std_ratio_vs_topn.png,Controlled within model; U500 minmax k8 h32,configs/analysis_reports/controlled_static_vs_evolvegcn_topn_halo_scaling_500u.json,PASS
