file_path,current_responsibility,change_kind,required_change,backward_compatibility_strategy,test_coverage,risk
src/data/camels_graph_utils.py,"halo cleaning, Top-N selection, dense periodic graph construction, temporal sample assembly",extend,"add stable raw-Mvir selection with halo-ID/original-row tie key and hashes; add exact row-streamed sparse periodic kNN; emit optional sparse snapshot/sequence fields","retain dense_adjacency default and every existing dense function/signature; sparse mode is explicit",top-N determinism and nesting; periodic edge equivalence/ties/padding/order,high
src/data/build_temporal_sequences.py,"temporal dataset CLI, validation, serialization, metadata",extend,"add graph_storage option, sparse validation/provenance/resource guards, and atomic recoverable writer","default graph_storage=dense_adjacency; legacy CLI/config remains valid",builder validation; atomic collision/restart/checksum/completion smoke,high
src/models/static_gcn.py,"dense normalized GCN/GraphSAGE and static regression",extend,"add sparse GCN normalization/message passing and sparse forward/encoding dispatch","dense positional forward path and parameters remain unchanged; sparse path reuses identical linear/layernorm/residual/readout parameters",dense/sparse layer/output/gradient equivalence,high
src/models/evolvegcn_h.py,"dense temporal EvolveGCN-H layers, pooling, and regression",extend,"add sparse temporal batch dispatch using identical weight evolution and GCN normalization","dense positional forward path remains unchanged; no replacement model or parameter change",per-layer/pooling/prediction/gradient equivalence,high
src/training/sparse_batch.py,"new shared temporal/static sparse batch representation",add,"canonicalize and batch variable-node sparse graphs without dense padding or adjacency conversion; device transfer and final-snapshot view","used only when sparse fields are present",variable nodes/padding/multiple universes/five snapshots/target order/final reuse,medium
src/training/split_manifest.py,"new immutable external split manifest validation",add,"verify dataset identity, counts, ordered IDs, duplicates, overlaps, missing IDs, hashes, and parent subset","trainers retain historical seeded ratio split when no manifest is supplied",valid and invalid manifest fixtures; exact ordering/nesting,medium
src/training/train_evolvegcn_h.py,"temporal dataset wrapper/collate, split, training CLI",extend,"dispatch sparse collate/model batches; accept verified split_manifest_path and record identity/hash","legacy dense loader/collate/internal split and existing CLI defaults remain",legacy collate/config; sparse loader; manifest ordering/errors; CLI help,high
src/training/train_static_gcn.py,"static/final-temporal view, collate, split manifest-like config, training CLI",extend,"preserve sparse final snapshot by reference; dispatch sparse collate/model; accept verified split_manifest_path","native/temporal dense modes and split_config_path remain supported",final-snapshot identity; dense/sparse loader/collate; manifest; CLI help,high
src/data/atomic_dataset.py,"new safe serialization/provenance utilities",add,"exclusive lock, same-directory temporary files, validation callback, fsync, checksum/config/source/git hashes, atomic renames, completion marker, cleanup/restart rules","invoked only for explicit sparse builds; legacy dense write remains available",completed-target refusal; partial detection; checksum; cleanup,high
tests/test_sparse_graph_pipeline.py,"new bounded unittest suite",add,"cover selection, topology, normalization, models, gradients, batching, manifests, writer, compatibility, and tiny synthetic/raw smoke build","uses only tiny in-memory or /tmp fixtures and no production dataset",all required sparse/equivalence/smoke categories,low
reports/experiment_registry/sparse_u1000_refactor_control_audit.md,"new Phase A/B control record",add,"record preflight, dense locations, feasibility gate, constraints, and implementation outcome","report only; no experiment artifact",manual evidence cross-check,low
reports/experiment_registry/sparse_u1000_schema_specification.md,"new schema contract",add,"document schema/version/dtypes/shapes/batching/normalization/complexity/provenance","explicitly documents legacy dense schema support",review against schema tests,low
reports/experiment_registry/sparse_u1000_compatibility_matrix.csv,"new compatibility record",add,"enumerate dense/sparse builder/loader/model/config behavior","documents unchanged defaults",backed by regression tests,low
reports/experiment_registry/sparse_u1000_equivalence_test_report.md,"new validation record",add,"record commands, per-category results, tolerances, warnings, and failures","does not alter prior reports",generated from bounded tests,low
reports/experiment_registry/sparse_u1000_smoke_build_report.md,"new smoke record",add,"record /tmp build timing/RSS/size/counts/metadata/checksum/model passes/cleanup","no production output",bounded smoke evidence,low
reports/experiment_registry/sparse_u1000_risk_register.csv,"new residual-risk register",add,"track sparse correctness, performance, compatibility, atomicity, environment, and production gates","does not modify authoritative pre-build register",review after validation,low
reports/experiment_registry/sparse_u1000_production_readiness_decision.md,"new final gate decision",add,"apply explicit GO/CONDITIONAL GO/NO-GO criteria with evidence","does not authorize or perform production build",cross-reference final tests and smoke,low
