risk_id,severity,likelihood,risk,evidence,mitigation,status
PG01,critical,certain,"trainer seed is not bound to split-manifest seed","load_split_manifest reads seed but accepts no expected_seed; existing test invokes seed999 with manifest seed42 and expects success","require expected_seed and reject mismatch in both trainers; add regression",open_blocker
PG02,critical,certain,"source identity is stat-only and target source is unauthenticated","hash material is catalogue path size mtime_ns; target CSV content/stat omitted","full per-file and target SHA-256 manifest bound into dataset metadata",open_blocker
PG03,medium,certain,"builder accumulates all U1000 samples before serialization","dataset dictionary grows through loop and one torch.save follows","measured sparse estimate about 1.0 GB; monitor RSS; fixed U1000 is safe",controlled
PG04,medium,possible,"dataset identity supplied to trainers is caller-provided rather than derived from loaded dataset/checksum","CLI dataset_identity string is passed directly to manifest validator","derive/verify checksum from completion metadata before loader construction",open
PG05,low,possible,"completion-marker directory entry lacks a final parent-directory fsync","marker file is fsynced but directory fsync occurs before marker creation","fsync parent after completion marker for power-loss durability",open
PG06,medium,certain,"no U1000 target CSV exists yet","planned outputs/target_inspection_1000u.csv is absent by design in this audit","create and full-hash it only in a separately authorized pre-build preparation",required_later
PG07,low,certain,"CUDA unavailable in audit environment","nvidia-smi cannot communicate and torch.cuda.is_available is false","manual batch-1 Top1000 Static and Evolve forward/backward GPU pilot before training; not required for dataset build",conditional_manual
PG08,low,possible,"row-streamed kNN is O(R^2) compute","measured full-snapshot kNN mean 0.0811 s and largest row [1000,3]","runtime acceptable; retain Top1000 cap",controlled
PG09,low,possible,"explicit overwrite deletes old completed output before replacement","atomic writer unlinks old files after lock when overwrite=True","production command omits overwrite; archive/delete partial only under reviewed restart procedure",controlled
PG10,low,certain,"repository has numerous pre-existing untracked artifacts","preflight status lists experiments and reports unrelated to this gate","preserve them and compare only tracked/staged state plus eight authorized outputs",controlled
