universes,seed,experiment_name,experiment_path,run_origin,config_exists,metrics_exists,train_log_exists,test_predictions_exist,best_checkpoint_exists,configuration_compatible,completion_status,reuse_decision,test_mae,test_rmse,test_r2_recomputed,best_epoch,test_samples,notes
20,42,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,canonical replacement,true,true,true,true,true,true,complete,reusable,0.0946318010489146,0.10297306709756288,0.048888086725889845,28,3,"Completed pilot; all predictions finite; runner will skip because all five required artifacts exist"
20,123,evolvegcn_h_20u_seed123_final32,experiments/evolvegcn_h_20u_seed123_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.10589082042376201,0.11243401456713151,0.33716093292584237,19,3,"Legacy config omits explicit activation/head/summary/target-normalization fields; verifier applies source defaults relu/mlp/false/false"
20,2025,evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u20_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,canonical replacement,false,false,false,false,false,not_verifiable_folder_absent,incomplete,excluded_until_complete,,,,,,"Folder absent; historical evolvegcn_h_20u_seed2025 is excluded because epochs=200"
50,42,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,canonical replacement,false,false,false,false,false,not_verifiable_folder_absent,incomplete,excluded_until_complete,,,,,,"Folder absent; historical evolvegcn_h_50u_seed42 is excluded because epochs=200"
50,123,evolvegcn_h_50u_seed123_final32,experiments/evolvegcn_h_50u_seed123_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.10247249715030193,0.12100125069644337,0.05712601547643881,8,8,"Legacy config omits explicit activation/head/summary/target-normalization fields; verifier applies source defaults relu/mlp/false/false"
50,2025,evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u50_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,canonical replacement,false,false,false,false,false,not_verifiable_folder_absent,incomplete,excluded_until_complete,,,,,,"Folder absent; historical evolvegcn_h_50u_seed2025 is excluded because epochs=200"
100,42,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed42,canonical replacement,false,false,false,false,false,not_verifiable_folder_absent,incomplete,excluded_until_complete,,,,,,"Folder absent; historical evolvegcn_h_100u_seed42 is excluded because epochs=200"
100,123,evolvegcn_h_100u_seed123_final32,experiments/evolvegcn_h_100u_seed123_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.1262190709511439,0.14484999299933063,-0.4455000601187815,8,15,"Legacy config omits explicit activation/head/summary/target-normalization fields; verifier applies source defaults relu/mlp/false/false"
100,2025,evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,experiments/evolvegcn_h_u100_top100_norm-minmax_h32_l2_gpool-mean_tpool-mean_head-mlp_canonical300_seed2025,canonical replacement,false,false,false,false,false,not_verifiable_folder_absent,incomplete,excluded_until_complete,,,,,,"Folder absent; historical evolvegcn_h_100u_seed2025 is excluded because epochs=200"
200,42,evolvegcn_h_200u_seed42_final32,experiments/evolvegcn_h_200u_seed42_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.09758373474081357,0.11099666591965886,-0.009786346018163083,8,30,"All audited fields match"
200,123,evolvegcn_h_200u_seed123_final32,experiments/evolvegcn_h_200u_seed123_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.0880318875114123,0.10571293071466246,0.005183752891004589,5,30,"All audited fields match"
200,2025,evolvegcn_h_200u_seed2025_final32,experiments/evolvegcn_h_200u_seed2025_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.11484164421757062,0.12910925014056243,-0.015509614338739874,5,30,"All audited fields match"
500,42,evolvegcn_h_500u_seed42_final32,experiments/evolvegcn_h_500u_seed42_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.08653705775737762,0.10205947521376181,-0.014195702403178245,8,75,"All audited fields match"
500,123,evolvegcn_h_500u_seed123_final32,experiments/evolvegcn_h_500u_seed123_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.09924482007821402,0.11675728841112959,-0.05300625110331092,65,75,"All audited fields match"
500,2025,evolvegcn_h_500u_seed2025_final32,experiments/evolvegcn_h_500u_seed2025_final32,historical compatible,true,true,true,true,true,true,complete,reusable,0.10510393093029657,0.12090740337632608,-0.029850955944742852,5,75,"All audited fields match"
